"run_id","block","engine","language","corpus","k","iters","threads","rep","fit_sec","wall_sec","max_rss_kb","r2","coherence_mean","coherence_median","coherence_sd","version"
"mallet__20ng__k100__i200__t8__r1","threads","mallet","Java","20ng",100,200,8,1,14.4165,37.2,1414656,0.5689525818,0.16998127633,0.14448413851,0.10426948079,"202108"
"mallet__20ng__k100__i200__t12__r1","threads","mallet","Java","20ng",100,200,12,1,12.6304,35.47,1437680,0.56045065312,0.16885493966,0.14814606377,0.092161377974,"202108"
"mallet__20ng__k100__i500__t1__r1","frontier","mallet","Java","20ng",100,500,1,1,90.2772,113.01,1372600,0.54436745919,0.15716128304,0.13545779274,0.090890489893,"202108"
"pylda__20ng__k100__i20__t1__r1","frontier","pylda","Python","20ng",100,20,1,1,26.6202722182,27.17,182708,0.49748664467,0.14283220905,0.12868799595,0.067061832985,"3.0.2"
"pylda__20ng__k100__i50__t1__r1","frontier","pylda","Python","20ng",100,50,1,1,61.5609881119,62.08,183212,0.52285216242,0.15271182461,0.13724575314,0.083244482583,"3.0.2"
"pylda__20ng__k100__i100__t1__r1","frontier","pylda","Python","20ng",100,100,1,1,119.8087277021,120.34,183236,0.53421404163,0.15666679327,0.13865815223,0.085945791884,"3.0.2"
"pylda__20ng__k100__i200__t1__r1","frontier","pylda","Python","20ng",100,200,1,1,235.059320448,235.61,182956,0.53863989874,0.15765372876,0.13819857246,0.08610778067,"3.0.2"
"pylda__20ng__k100__i500__t1__r1","frontier","pylda","Python","20ng",100,500,1,1,585.3372632992,585.88,183068,0.55217336056,0.15905258801,0.14141825348,0.081823763914,"3.0.2"
"sklearn__20ng__k100__i1__t1__r1","frontier","sklearn","Python","20ng",100,1,1,1,32.0340035139,33.26,264312,0.17860702292,0.10326428654,0.10093355549,0.030313390016,"1.9.0"
"sklearn__20ng__k100__i2__t1__r1","frontier","sklearn","Python","20ng",100,2,1,1,39.9292925731,41.16,264608,0.36697278195,0.12218233683,0.10773910144,0.076660943832,"1.9.0"
"sklearn__20ng__k100__i5__t1__r1","frontier","sklearn","Python","20ng",100,5,1,1,58.8060570778,60.01,266876,0.52049370196,0.1340570351,0.11547751092,0.094772797886,"1.9.0"
"sklearn__20ng__k100__i10__t1__r1","frontier","sklearn","Python","20ng",100,10,1,1,89.3231473719,90.57,267644,0.53587099332,0.12629681383,0.10696114723,0.10264175299,"1.9.0"
"sklearn__20ng__k100__i10__t2__r1","threads","sklearn","Python","20ng",100,10,2,1,55.4377282998,56.86,389656,0.53023959071,0.13169632019,0.11654111532,0.093702567171,"1.9.0"
"sklearn__20ng__k100__i10__t4__r1","threads","sklearn","Python","20ng",100,10,4,1,32.4009694653,33.83,415708,0.52299844904,0.13697832359,0.1167612991,0.098385900035,"1.9.0"
"sklearn__20ng__k100__i10__t8__r1","threads","sklearn","Python","20ng",100,10,8,1,24.4843476759,26,478244,0.53079580036,0.13505218768,0.11870581545,0.098144125849,"1.9.0"
"sklearn__20ng__k100__i10__t12__r1","threads","sklearn","Python","20ng",100,10,12,1,21.7206616001,23.26,559808,0.5161281373,0.12695903276,0.10898223544,0.088640545217,"1.9.0"
"sklearn__20ng__k100__i25__t1__r1","frontier","sklearn","Python","20ng",100,25,1,1,177.202193738,178.42,270992,0.53652808541,0.1236318548,0.10590304252,0.10548887383,"1.9.0"
"text2vec__20ng__k100__i20__t1__r1","frontier","text2vec","R","20ng",100,20,1,1,6.484,11.29,409672,0.42768073944,0.12688690726,0.11250549283,0.088550866283,"0.6.6"
"text2vec__20ng__k100__i50__t1__r1","frontier","text2vec","R","20ng",100,50,1,1,13.103,17.35,410140,0.48939664585,0.1338331446,0.11889074039,0.087424839468,"0.6.6"
"text2vec__20ng__k100__i100__t1__r1","frontier","text2vec","R","20ng",100,100,1,1,23.604,27.58,409868,0.51675123889,0.1411041082,0.11940048062,0.084039612381,"0.6.6"
"text2vec__20ng__k100__i200__t1__r1","frontier","text2vec","R","20ng",100,200,1,1,45.214,49.03,410156,0.53156918901,0.14616493189,0.12528108597,0.089156973014,"0.6.6"
